1, ocean, minecraft:ocean, MONSTER, minecraft:spider, 30, 1, 2
2, ocean, minecraft:ocean, MONSTER, minecraft:zombie, 30, 1, 2
3, ocean, minecraft:ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
4, ocean, minecraft:ocean, MONSTER, minecraft:skeleton, 30, 1, 2
5, ocean, minecraft:ocean, MONSTER, minecraft:creeper, 30, 1, 2
6, ocean, minecraft:ocean, MONSTER, minecraft:slime, 30, 1, 2
7, ocean, minecraft:ocean, MONSTER, minecraft:enderman, 10, 1, 2
8, ocean, minecraft:ocean, MONSTER, minecraft:witch, 5, 1, 1
9, ocean, minecraft:ocean, MONSTER, minecraft:drowned, 5, 1, 1
10, ocean, minecraft:ocean, MONSTER, geode:redstonegeode, 20, 1, 1
11, ocean, minecraft:ocean, MONSTER, geode:quartzgeode, 20, 1, 1
12, ocean, minecraft:ocean, MONSTER, geode:lapisgeode, 20, 1, 1
13, ocean, minecraft:ocean, MONSTER, geode:irongeode, 20, 1, 1
14, ocean, minecraft:ocean, MONSTER, geode:goldgeode, 20, 1, 1
15, ocean, minecraft:ocean, MONSTER, geode:glowstonegeode, 20, 1, 1
16, ocean, minecraft:ocean, MONSTER, geode:emeraldgeode, 20, 1, 1
17, ocean, minecraft:ocean, MONSTER, geode:diamondgeode, 25, 1, 1
18, ocean, minecraft:ocean, MONSTER, geode:coalgeode, 20, 1, 1
19, ocean, minecraft:ocean, MONSTER, teleportation_crystals:unstable_enderman, 10, 1, 1
20, ocean, minecraft:ocean, MONSTER, experimental_m:skinnerprimerestado, 7, 1, 1
21, ocean, minecraft:ocean, MONSTER, experimental_m:rotscal, 5, 1, 1
22, ocean, minecraft:ocean, MONSTER, touhou_little_maid:fairy, 30, 1, 2
23, ocean, minecraft:ocean, MONSTER, experimental_m:mummybeetle, 7, 3, 4
24, ocean, minecraft:ocean, MONSTER, experimental_m:mummybeetleclones, 5, 2, 4
25, ocean, minecraft:ocean, MONSTER, experimental_m:morb, 7, 1, 1
26, ocean, minecraft:ocean, MONSTER, experimental_m:kullo, 7, 1, 1
27, ocean, minecraft:ocean, MONSTER, experimental_m:chunchi_zombie, 5, 2, 3
28, ocean, minecraft:ocean, MONSTER, experimental_m:chilopoto, 6, 1, 2
29, ocean, minecraft:ocean, CREATURE, untitledduckmod:duck, 22, 1, 2
30, ocean, minecraft:ocean, CREATURE, untitledduckmod:goose, 22, 1, 2
31, ocean, minecraft:ocean, AMBIENT, minecraft:bat, 10, 1, 2
32, ocean, minecraft:ocean, WATER_CREATURE, minecraft:squid, 15, 1, 3
33, ocean, minecraft:ocean, WATER_CREATURE, minecraft:dolphin, 15, 1, 2
34, ocean, minecraft:ocean, WATER_CREATURE, dungeonsmod:piranha, 5, 2, 3
35, ocean, minecraft:ocean, WATER_CREATURE, experimental_m:ichtnormies, 5, 1, 2
36, ocean, minecraft:ocean, WATER_CREATURE, upgrade_aquatic:glow_squid, 20, 1, 1
37, ocean, minecraft:ocean, WATER_CREATURE, experimental_m:guara, 10, 1, 1
38, ocean, minecraft:ocean, WATER_AMBIENT, minecraft:cod, 15, 2, 4
39, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 2
40, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:tuna, 5, 1, 1
41, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:atlantic_herring, 10, 1, 2
42, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:atlantic_halibut, 5, 1, 1
43, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:red_grouper, 6, 1, 2
44, ocean, minecraft:ocean, WATER_AMBIENT, upgrade_aquatic:nautilus, 10, 1, 2
45, plains, minecraft:plains, MONSTER, minecraft:spider, 30, 1, 2
46, plains, minecraft:plains, MONSTER, minecraft:zombie, 30, 1, 2
47, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 5, 1, 1
48, plains, minecraft:plains, MONSTER, minecraft:skeleton, 30, 1, 2
49, plains, minecraft:plains, MONSTER, minecraft:creeper, 30, 1, 2
50, plains, minecraft:plains, MONSTER, minecraft:slime, 30, 1, 2
51, plains, minecraft:plains, MONSTER, minecraft:enderman, 10, 1, 2
52, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
53, plains, minecraft:plains, MONSTER, geode:redstonegeode, 20, 1, 1
54, plains, minecraft:plains, MONSTER, geode:quartzgeode, 20, 1, 1
55, plains, minecraft:plains, MONSTER, geode:lapisgeode, 20, 1, 1
56, plains, minecraft:plains, MONSTER, geode:irongeode, 20, 1, 1
