1, ocean, minecraft:ocean, MONSTER, minecraft:spider, 30, 1, 2
2, ocean, minecraft:ocean, MONSTER, minecraft:zombie, 30, 1, 2
3, ocean, minecraft:ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
4, ocean, minecraft:ocean, MONSTER, minecraft:skeleton, 30, 1, 2
5, ocean, minecraft:ocean, MONSTER, minecraft:creeper, 30, 1, 2
6, ocean, minecraft:ocean, MONSTER, minecraft:slime, 30, 1, 2
7, ocean, minecraft:ocean, MONSTER, minecraft:enderman, 10, 1, 2
8, ocean, minecraft:ocean, MONSTER, minecraft:witch, 5, 1, 1
9, ocean, minecraft:ocean, MONSTER, minecraft:drowned, 5, 1, 1
10, ocean, minecraft:ocean, MONSTER, geode:redstonegeode, 20, 1, 1
11, ocean, minecraft:ocean, MONSTER, geode:quartzgeode, 20, 1, 1
12, ocean, minecraft:ocean, MONSTER, geode:lapisgeode, 20, 1, 1
13, ocean, minecraft:ocean, MONSTER, geode:irongeode, 20, 1, 1
14, ocean, minecraft:ocean, MONSTER, geode:goldgeode, 20, 1, 1
15, ocean, minecraft:ocean, MONSTER, geode:glowstonegeode, 20, 1, 1
16, ocean, minecraft:ocean, MONSTER, geode:emeraldgeode, 20, 1, 1
17, ocean, minecraft:ocean, MONSTER, geode:diamondgeode, 25, 1, 1
18, ocean, minecraft:ocean, MONSTER, geode:coalgeode, 20, 1, 1
19, ocean, minecraft:ocean, MONSTER, touhou_little_maid:fairy, 30, 1, 2
20, ocean, minecraft:ocean, CREATURE, untitledduckmod:duck, 22, 1, 2
21, ocean, minecraft:ocean, CREATURE, untitledduckmod:goose, 22, 1, 2
22, ocean, minecraft:ocean, AMBIENT, minecraft:bat, 10, 1, 2
23, ocean, minecraft:ocean, WATER_CREATURE, minecraft:squid, 15, 1, 3
24, ocean, minecraft:ocean, WATER_CREATURE, minecraft:dolphin, 15, 1, 2
25, ocean, minecraft:ocean, WATER_CREATURE, dungeonsmod:piranha, 5, 2, 3
26, ocean, minecraft:ocean, WATER_CREATURE, upgrade_aquatic:glow_squid, 20, 1, 1
27, ocean, minecraft:ocean, WATER_AMBIENT, minecraft:cod, 15, 2, 4
28, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 2
29, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:tuna, 5, 1, 1
30, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:atlantic_herring, 10, 1, 2
31, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:atlantic_halibut, 5, 1, 1
32, ocean, minecraft:ocean, WATER_AMBIENT, aquaculture:red_grouper, 6, 1, 2
33, ocean, minecraft:ocean, WATER_AMBIENT, upgrade_aquatic:nautilus, 10, 1, 2
34, plains, minecraft:plains, MONSTER, minecraft:spider, 30, 1, 2
35, plains, minecraft:plains, MONSTER, minecraft:zombie, 30, 1, 2
36, plains, minecraft:plains, MONSTER, minecraft:zombie_villager, 5, 1, 1
37, plains, minecraft:plains, MONSTER, minecraft:skeleton, 30, 1, 2
38, plains, minecraft:plains, MONSTER, minecraft:creeper, 30, 1, 2
39, plains, minecraft:plains, MONSTER, minecraft:slime, 30, 1, 2
40, plains, minecraft:plains, MONSTER, minecraft:enderman, 10, 1, 2
41, plains, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
42, plains, minecraft:plains, MONSTER, geode:redstonegeode, 20, 1, 1
43, plains, minecraft:plains, MONSTER, geode:quartzgeode, 20, 1, 1
44, plains, minecraft:plains, MONSTER, geode:lapisgeode, 20, 1, 1
45, plains, minecraft:plains, MONSTER, geode:irongeode, 20, 1, 1
46, plains, minecraft:plains, MONSTER, geode:goldgeode, 20, 1, 1
47, plains, minecraft:plains, MONSTER, geode:glowstonegeode, 20, 1, 1
48, plains, minecraft:plains, MONSTER, geode:emeraldgeode, 20, 1, 1
49, plains, minecraft:plains, MONSTER, geode:diamondgeode, 25, 1, 1
50, plains, minecraft:plains, MONSTER, geode:coalgeode, 20, 1, 1
51, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 8, 1, 1
52, plains, minecraft:plains, MONSTER, alexsmobs:centipede_head, 8, 1, 1
53, plains, minecraft:plains, MONSTER, dungeonsmod:mimic, 5, 1, 1
54, plains, minecraft:plains, MONSTER, touhou_little_maid:fairy, 30, 1, 2
55, plains, minecraft:plains, CREATURE, minecraft:sheep, 22, 2, 3
56, plains, minecraft:plains, CREATURE, minecraft:pig, 20, 2, 3
57, plains, minecraft:plains, CREATURE, minecraft:chicken, 20, 2, 3
