1, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
2, minecraft:swamp_hut, MONSTER, minecraft:witch, 5, 1, 1
3, minecraft:swamp_hut, CREATURE, minecraft:cat, 5, 1, 1
4, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
5, minecraft:pillager_outpost, MONSTER, minecraft:pillager, 5, 1, 1
6, minecraft:monument, HEADING, header:ignore, 0, 0, 0
7, minecraft:monument, MONSTER, minecraft:guardian, 5, 2, 4
8, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
9, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
10, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 5, 4, 4
11, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 8, 5, 5
12, minecraft:fortress, MONSTER, minecraft:skeleton, 20, 5, 5
13, minecraft:fortress, MONSTER, minecraft:magma_cube, 5, 4, 4
14, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
15, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
16, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
17, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
18, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
19, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
20, minecraft:shipwreck, HEADING, header:ignore, 0, 0, 0
21, minecraft:stronghold, HEADING, header:ignore, 0, 0, 0
22, minecraft:ocean_ruin, HEADING, header:ignore, 0, 0, 0
23, minecraft:endcity, HEADING, header:ignore, 0, 0, 0
24, minecraft:endcity, MONSTER, alexsmobs:mimicube, 30, 1, 3
25, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
26, minecraft:village, HEADING, header:ignore, 0, 0, 0
27, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
28, minecraft:nether_fossil, MONSTER, alexsmobs:soul_vulture, 30, 2, 3
29, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
30, infernalexp:glowstone_canyon_ruin, HEADING, header:ignore, 0, 0, 0
31, infernalexp:bastion_outpost, HEADING, header:ignore, 0, 0, 0
32, infernalexp:soul_sand_valley_ruin, HEADING, header:ignore, 0, 0, 0
33, infernalexp:strider_altar, HEADING, header:ignore, 0, 0, 0
34, paraglider:underground_horned_statue, HEADING, header:ignore, 0, 0, 0
35, paraglider:nether_horned_statue, HEADING, header:ignore, 0, 0, 0
36, paraglider:tarrey_town_goddess_statue, HEADING, header:ignore, 0, 0, 0
37, betterendforge:mountain_structure, HEADING, header:ignore, 0, 0, 0
38, betterendforge:megalake_structure, HEADING, header:ignore, 0, 0, 0
39, betterendforge:megalake_small_structure, HEADING, header:ignore, 0, 0, 0
40, betterendforge:giant_mossy_glowshroom_structure, HEADING, header:ignore, 0, 0, 0
41, betterendforge:painted_mountain_structure, HEADING, header:ignore, 0, 0, 0
42, betterendforge:eternal_portal_structure, HEADING, header:ignore, 0, 0, 0
43, betterendforge:giant_ice_star_structure, HEADING, header:ignore, 0, 0, 0
44, castle_in_the_sky:castle_in_the_sky, HEADING, header:ignore, 0, 0, 0
45, castle_in_the_sky:castle_in_the_sky, MONSTER, minecraft:zombie, 5, 1, 1
46, mostructures:barn_house, HEADING, header:ignore, 0, 0, 0
47, mostructures:big_pyramid, HEADING, header:ignore, 0, 0, 0
48, mostructures:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
49, mostructures:jungle_pyramid, MONSTER, minecraft:stray, 5, 2, 2
50, mostructures:jungle_pyramid, MONSTER, minecraft:creeper, 5, 1, 1
51, mostructures:the_castle_in_the_sky, HEADING, header:ignore, 0, 0, 0
52, mostructures:villager_tower, HEADING, header:ignore, 0, 0, 0
53, mostructures:villager_market, HEADING, header:ignore, 0, 0, 0
54, mostructures:pillager_factory, HEADING, header:ignore, 0, 0, 0
55, mostructures:abandoned_church, HEADING, header:ignore, 0, 0, 0
56, mostructures:ice_tower, HEADING, header:ignore, 0, 0, 0
57, mostructures:ice_tower, MONSTER, minecraft:stray, 5, 2, 2
58, mostructures:ice_tower, MONSTER, minecraft:creeper, 5, 1, 1
59, mostructures:tavern, HEADING, header:ignore, 0, 0, 0
60, mostructures:killer_bunny_castle, HEADING, header:ignore, 0, 0, 0
61, mostructures:killer_bunny_castle, MONSTER, minecraft:stray, 5, 2, 2
62, mostructures:killer_bunny_castle, MONSTER, minecraft:creeper, 5, 1, 1
63, mostructures:pirateship, HEADING, header:ignore, 0, 0, 0
64, mostructures:lighthouse, HEADING, header:ignore, 0, 0, 0
65, mostructures:moai, HEADING, header:ignore, 0, 0, 0
66, mostructures:air_balloon, HEADING, header:ignore, 0, 0, 0
67, theabyss:abyss_dungeon, HEADING, header:ignore, 0, 0, 0
68, theabyss:forest_hut, HEADING, header:ignore, 0, 0, 0
69, theabyss:castle, HEADING, header:ignore, 0, 0, 0
70, theabyss:abylager_hut, HEADING, header:ignore, 0, 0, 0
71, bettermineshafts:mineshaft, HEADING, header:ignore, 0, 0, 0
72, graveyard:small_walled_graveyard, HEADING, header:ignore, 0, 0, 0
73, graveyard:small_walled_graveyard_savanna, HEADING, header:ignore, 0, 0, 0
74, graveyard:small_walled_graveyard_desert, HEADING, header:ignore, 0, 0, 0
75, graveyard:small_walled_graveyard_desert, MONSTER, minecraft:pillager, 5, 1, 2
76, graveyard:small_walled_graveyard_desert, MONSTER, minecraft:vindicator, 5, 1, 2
77, graveyard:small_grave, HEADING, header:ignore, 0, 0, 0
78, graveyard:small_desert_grave, HEADING, header:ignore, 0, 0, 0
79, graveyard:small_savanna_grave, HEADING, header:ignore, 0, 0, 0
80, graveyard:small_mountain_grave, HEADING, header:ignore, 0, 0, 0
81, graveyard:mushroom_grave, HEADING, header:ignore, 0, 0, 0
82, graveyard:large_birch_tree, HEADING, header:ignore, 0, 0, 0
83, graveyard:medium_walled_graveyard, HEADING, header:ignore, 0, 0, 0
84, graveyard:medium_walled_graveyard, MONSTER, minecraft:zombie_villager, 5, 1, 4
85, graveyard:medium_walled_graveyard, MONSTER, minecraft:zombie, 5, 2, 4
86, graveyard:large_walled_graveyard, HEADING, header:ignore, 0, 0, 0
87, graveyard:haunted_house, HEADING, header:ignore, 0, 0, 0
88, boss_tools:venus_bullet, HEADING, header:ignore, 0, 0, 0
89, boss_tools:venus_tower, HEADING, header:ignore, 0, 0, 0
90, boss_tools:crimson_village, HEADING, header:ignore, 0, 0, 0
91, boss_tools:alien_village, HEADING, header:ignore, 0, 0, 0
92, boss_tools:meteor, HEADING, header:ignore, 0, 0, 0
93, boss_tools:oil_well, HEADING, header:ignore, 0, 0, 0
94, awesomedungeonocean:ocean_quad, HEADING, header:ignore, 0, 0, 0
95, awesomedungeonocean:ocean_ruin_pillager, HEADING, header:ignore, 0, 0, 0
96, awesomedungeonocean:ocean_ruin_vanilla_temple, HEADING, header:ignore, 0, 0, 0
97, awesomedungeonocean:ocean_temple_quad, HEADING, header:ignore, 0, 0, 0
98, awesomedungeonocean:ocean_the_column_temple, HEADING, header:ignore, 0, 0, 0
99, awesomedungeonocean:ocean_warn_temple, HEADING, header:ignore, 0, 0, 0
100, awesomedungeonocean:ocean_cage, HEADING, header:ignore, 0, 0, 0
101, awesomedungeonocean:brigantine, HEADING, header:ignore, 0, 0, 0
102, awesomedungeonocean:frigate_medium, HEADING, header:ignore, 0, 0, 0
103, awesomedungeonocean:frigate_large, HEADING, header:ignore, 0, 0, 0
104, dungeonsmod:the_chapel, HEADING, header:ignore, 0, 0, 0
105, dungeonsmod:the_chapel, MONSTER, dungeonsmod:mimic, 5, 1, 1
106, dungeonsmod:the_nest, HEADING, header:ignore, 0, 0, 0
107, dungeonsmod:the_nest, MONSTER, dungeonsmod:mimic, 5, 1, 1
108, dungeonsmod:the_pitcher, HEADING, header:ignore, 0, 0, 0
109, dungeonsmod:the_pitcher, MONSTER, dungeonsmod:mimic, 5, 1, 1
110, dungeonsmod:the_sewers, HEADING, header:ignore, 0, 0, 0
111, dungeonsmod:the_camp, HEADING, header:ignore, 0, 0, 0
112, dungeonsmod:the_camp, MONSTER, dungeonsmod:mimic, 5, 1, 1
